Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.935479,-0.296455,-0.845064,9.385841,-0.121468,0,,,,,0.090421,-0.123385
-0.934725,-0.299955,-0.843557,9.385876,-0.113932,0,,,,,0.091174,-0.123383
-0.933972,-0.303147,-0.84205,9.385909,-0.106395,0,,,,,0.091928,-0.123381
-0.933218,-0.305726,-0.840543,9.385905,-0.098858,0,,,,,0.092681,-0.12338
-0.932465,-0.307982,-0.839036,9.3859,-0.091321,0,,,,,0.093435,-0.123378
-0.931711,-0.31018,-0.837529,9.385933,-0.083784,0,,,,,0.094188,-0.123376
-0.930958,-0.31216,-0.836022,9.385952,-0.076247,0,,,,,0.094942,-0.123375
-0.930204,-0.313913,-0.834515,9.386002,-0.06871,0,,,,,0.095695,-0.123373
-0.929451,-0.315602,-0.833008,9.386004,-0.061173,0,,,,,0.096449,-0.123371
-0.928697,-0.317344,-0.831501,9.386024,-0.053636,0,,,,,0.097202,-0.12337
-0.927944,-0.319094,-0.829994,9.385948,-0.046099,0,,,,,0.097956,-0.123368
-0.92719,-0.320765,-0.828487,9.385892,-0.038562,0,,,,,0.098709,-0.123366
-0.926437,-0.323152,-0.82698,9.385868,-0.031025,0,,,,,0.099463,-0.123364
-0.925683,-0.324892,-0.825473,9.38585,-0.023489,0,,,,,0.100216,-0.123363
-0.92493,-0.326601,-0.823966,9.385846,-0.015952,0,,,,,0.10097,-0.123361
-0.924176,-0.329293,-0.822459,9.385853,-0.008415,0,,,,,0.101723,-0.123359
-0.923423,-0.332316,-0.820952,9.385832,-0.000878,0,,,,,0.102477,-0.123357
-0.922669,-0.334254,-0.819445,9.385817,0.006659,0,,,,,0.10323,-0.123355
-0.921916,-0.335245,-0.817938,9.385791,0.014196,0,,,,,0.103984,-0.123354
-0.921162,-0.336716,-0.816432,9.38579,0.021733,0,,,,,0.104737,-0.123352
-0.920409,-0.337269,-0.814925,9.385829,0.02927,0,,,,,0.105491,-0.12335
-0.919655,-0.337974,-0.813418,9.385758,0.036807,0,,,,,0.106244,-0.123348
-0.918902,-0.33907,-0.811911,9.385675,0.044344,0,,,,,0.106998,-0.123347
-0.918148,-0.33982,-0.810404,9.385606,0.051881,0,,,,,0.107751,-0.123345
-0.917395,-0.340507,-0.808897,9.385564,0.059418,0,,,,,0.108505,-0.123343
-0.916641,-0.341753,-0.80739,9.385554,0.066955,0,,,,,0.109258,-0.123341
-0.915888,-0.343291,-0.805883,9.38553,0.074492,0,,,,,0.110012,-0.123339
-0.915134,-0.344752,-0.804376,9.38548,0.082029,0,,,,,0.110765,-0.123337
-0.914381,-0.346256,-0.802869,9.385482,0.089565,0,,,,,0.111519,-0.123336
-0.913627,-0.345211,-0.801362,9.385478,0.097102,0,,,,,0.112272,-0.123334
-0.912874,-0.330901,-0.799855,9.385426,0.104639,0,,,,,0.113026,-0.123332
-0.91212,-0.279552,-0.798348,9.38545,0.112176,0,,,,,0.113779,-0.123331
-0.911367,-0.210379,-0.796841,9.385434,0.119713,0,,,,,0.114533,-0.12333
-0.910613,-0.136811,-0.795334,9.385365,0.12725,0,,,,,0.115286,-0.123328
-0.90986,-0.057141,-0.793827,9.385324,0.134787,0,,,,,0.11604,-0.123327
-0.909106,0.02498,-0.79232,9.385303,0.142324,0,,,,,0.116793,-0.123326
-0.908353,0.107945,-0.790813,9.385276,0.149861,0,,,,,0.117547,-0.123325
-0.907599,0.1917,-0.789306,9.385309,0.157398,0,,,,,0.1183,-0.123323
-0.906846,0.275635,-0.787799,9.385366,0.164935,0,,,,,0.119054,-0.123322
