Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
-0.911882,-0.034155,-0.798081,16.458162,0.112581,0,,,,,,,0.113801,-1.311795
-0.911051,-0.032871,-0.796419,16.458181,0.120889,0,,,,,,,0.114632,-1.311795
-0.91022,-0.031604,-0.794758,16.45821,0.129198,0,,,,,,,0.115462,-1.311795
-0.90939,-0.02951,-0.793097,16.45821,0.137506,0,,,,,,,0.116293,-1.311795
-0.908559,-0.026174,-0.791435,16.458252,0.145815,0,,,,,,,0.117124,-1.311795
-0.907728,-0.018631,-0.789774,16.458344,0.154123,0,,,,,,,0.117954,-1.311795
-0.906898,-0.005022,-0.788113,16.458378,0.162432,0,,,,,,,0.118785,-1.311795
-0.906067,0.011473,-0.786451,16.458448,0.17074,0,,,,,,,0.119616,-1.311795
-0.905236,0.029381,-0.78479,16.458492,0.179049,0,,,,,,,0.120446,-1.311795
-0.904406,0.046677,-0.783129,16.458549,0.187357,0,,,,,,,0.121277,-1.311795
-0.903575,0.062625,-0.781467,16.458633,0.195666,0,,,,,,,0.122108,-1.311795
-0.902744,0.077537,-0.779806,16.458672,0.203974,0,,,,,,,0.122938,-1.311795
-0.901914,0.09143,-0.778145,16.458645,0.212283,0,,,,,,,0.123769,-1.311795
-0.901083,0.10435,-0.776483,16.458681,0.220591,0,,,,,,,0.1246,-1.311795
-0.900252,0.117597,-0.774822,16.458771,0.2289,0,,,,,,,0.12543,-1.311795
-0.899422,0.130685,-0.773161,16.458794,0.237208,0,,,,,,,0.126261,-1.311795
-0.898591,0.144494,-0.771499,16.458799,0.245517,0,,,,,,,0.127092,-1.311795
-0.89776,0.158099,-0.769838,16.458851,0.253825,0,,,,,,,0.127922,-1.311795
-0.89693,0.172472,-0.768177,16.458933,0.262134,0,,,,,,,0.128753,-1.311795
-0.896099,0.185814,-0.766515,16.459036,0.270442,0,,,,,,,0.129583,-1.311795
-0.895268,0.198972,-0.764854,16.459047,0.278751,0,,,,,,,0.130414,-1.311795
-0.894438,0.211795,-0.763193,16.458967,0.287059,0,,,,,,,0.131245,-1.311795
-0.893607,0.224474,-0.761531,16.458969,0.295368,0,,,,,,,0.132076,-1.311795
-0.892776,0.23662,-0.75987,16.459023,0.303676,0,,,,,,,0.132906,-1.311795
-0.891946,0.249618,-0.758209,16.459141,0.311985,0,,,,,,,0.133737,-1.311795
-0.891115,0.263436,-0.756548,16.459219,0.320293,0,,,,,,,0.134567,-1.311795
-0.890284,0.278146,-0.754886,16.459297,0.328602,0,,,,,,,0.135398,-1.311795
-0.889454,0.293518,-0.753225,16.459366,0.33691,0,,,,,,,0.136229,-1.311795
-0.888623,0.310155,-0.751564,16.459457,0.345219,0,,,,,,,0.137059,-1.311795
-0.887792,0.328216,-0.749902,16.459558,0.353527,0,,,,,,,0.13789,-1.311795
-0.886962,0.347495,-0.748241,16.45973,0.361836,0,,,,,,,0.138721,-1.311795
-0.886131,0.36888,-0.74658,16.459721,0.370144,0,,,,,,,0.139552,-1.311795
-0.8853,0.392612,-0.744918,16.459724,0.378453,0,,,,,,,0.140382,-1.311795
-0.88447,0.417499,-0.743257,16.4597,0.386761,0,,,,,,,0.141213,-1.311795
-0.883639,0.444238,-0.741596,16.459713,0.395069,0,,,,,,,0.142043,-1.311795
-0.882808,0.473366,-0.739934,16.459715,0.403378,0,,,,,,,0.142874,-1.311795
-0.881978,0.504017,-0.738273,16.45969,0.411687,0,,,,,,,0.143705,-1.311795
-0.881147,0.533321,-0.736612,16.459827,0.419995,0,,,,,,,0.144535,-1.311795
-0.880316,0.562209,-0.73495,16.45999,0.428303,0,,,,,,,0.145366,-1.311795
-0.879486,0.593157,-0.733289,16.460052,0.436612,0,,,,,,,0.146197,-1.311795
-0.878655,0.628271,-0.731628,16.460062,0.44492,0,,,,,,,0.147027,-1.311795
-0.877824,0.66475,-0.729966,16.460011,0.453229,0,,,,,,,0.147858,-1.311795
