Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.839313,7.301896,-0.653128,9.380466,0.836076,0,,,,,0.18616,-1.208363
-0.838634,7.222473,-0.651769,9.380536,0.84287,0,,,,,0.18684,-1.208363
-0.837954,7.146099,-0.650411,9.380525,0.849664,0,,,,,0.187519,-1.208363
-0.837275,7.073072,-0.649052,9.380486,0.856458,0,,,,,0.188198,-1.208363
-0.836595,7.000453,-0.647693,9.380496,0.863252,0,,,,,0.188878,-1.208363
-0.835916,6.927993,-0.646334,9.380507,0.870046,0,,,,,0.189557,-1.208363
-0.835237,6.857686,-0.644975,9.380486,0.87684,0,,,,,0.190237,-1.208363
-0.834557,6.789826,-0.643616,9.380487,0.883634,0,,,,,0.190916,-1.208363
-0.833878,6.721039,-0.642257,9.380509,0.890428,0,,,,,0.191596,-1.208363
-0.833198,6.652882,-0.640898,9.380531,0.897222,0,,,,,0.192275,-1.208363
-0.832519,6.585309,-0.639539,9.380526,0.904016,0,,,,,0.192954,-1.208363
-0.831839,6.518104,-0.63818,9.38054,0.91081,0,,,,,0.193634,-1.208363
-0.83116,6.451652,-0.636821,9.380557,0.917603,0,,,,,0.194313,-1.208363
-0.830481,6.386905,-0.635462,9.380547,0.924397,0,,,,,0.194993,-1.208363
-0.829801,6.322348,-0.634103,9.380516,0.931191,0,,,,,0.195672,-1.208363
-0.829122,6.258655,-0.632745,9.380527,0.937985,0,,,,,0.196351,-1.208363
-0.828442,6.19516,-0.631386,9.380551,0.944779,0,,,,,0.197031,-1.208363
-0.827763,6.130454,-0.630027,9.380583,0.951573,0,,,,,0.19771,-1.208363
-0.827084,6.065977,-0.628668,9.380614,0.958367,0,,,,,0.19839,-1.208363
-0.826404,6.005137,-0.627309,9.380617,0.965161,0,,,,,0.199069,-1.208363
-0.825725,5.945552,-0.62595,9.380579,0.971955,0,,,,,0.199749,-1.208363
-0.825045,5.885623,-0.624591,9.38059,0.978749,0,,,,,0.200428,-1.208363
-0.824366,5.824781,-0.623232,9.380526,0.985543,0,,,,,0.201107,-1.208363
-0.823686,5.764409,-0.621873,9.380473,0.992337,0,,,,,0.201787,-1.208363
